ratio halfwidth L co_size
0.500000 100.000000 0.007025 104.541397
0.500000 200.000000 0.008111 120.706438
0.500000 500.000000 0.010093 150.195740
0.500000 1000.000000 0.011127 165.583548
0.500000 2000.000000 0.011356 168.992590
0.500000 5000.000000 0.011364 169.104864
0.333333 100.000000 0.008134 80.697997
0.333333 200.000000 0.010216 101.354802
0.333333 500.000000 0.014264 141.512513
0.333333 1000.000000 0.016516 163.850243
0.333333 2000.000000 0.017028 168.936479
0.333333 5000.000000 0.017045 169.104862
0.250000 100.000000 0.009178 68.287296
0.250000 200.000000 0.012222 90.936521
0.250000 500.000000 0.018349 136.525628
0.250000 1000.000000 0.021882 162.818851
0.250000 2000.000000 0.022700 168.902822
0.250000 5000.000000 0.022727 169.104861
0.200000 100.000000 0.010193 60.676630
0.200000 200.000000 0.014183 84.425745
0.200000 500.000000 0.022392 133.289055
0.200000 1000.000000 0.027238 162.134799
0.200000 2000.000000 0.028371 168.880387
0.200000 5000.000000 0.028409 169.104861
