ratio halfwidth L co_size
0.500000 500.000000 0.010081 150.195740
0.500000 1000.000000 0.011114 165.583548
0.500000 2000.000000 0.011343 168.992590
0.500000 5000.000000 0.011350 169.104864
0.333333 500.000000 0.014247 141.512513
0.333333 1000.000000 0.016496 163.850243
0.333333 2000.000000 0.017008 168.936479
0.333333 5000.000000 0.017025 169.104862
0.250000 500.000000 0.018327 136.525628
0.250000 1000.000000 0.021856 162.818851
0.250000 2000.000000 0.022673 168.902822
0.250000 5000.000000 0.022700 169.104861
0.200000 500.000000 0.022366 133.289055
0.200000 1000.000000 0.027206 162.134799
0.200000 2000.000000 0.028338 168.880387
0.200000 5000.000000 0.028375 169.104861
