ratio halfwidth L multiple cos_reduction
0.850000 1500.000000 0.008000 4.000000 0.050000
0.850000 1500.000000 0.008000 4.000000 0.060000
0.850000 1500.000000 0.008000 4.000000 0.070000
0.850000 1500.000000 0.008000 4.000000 0.080000
0.850000 1500.000000 0.008000 5.000000 0.050000
0.850000 1500.000000 0.008000 5.000000 0.060000
0.850000 1500.000000 0.008000 5.000000 0.070000
0.850000 1500.000000 0.008000 5.000000 0.080000
0.850000 1500.000000 0.008000 6.000000 0.050000
0.850000 1500.000000 0.008000 6.000000 0.060000
0.850000 1500.000000 0.008000 6.000000 0.070000
0.850000 1500.000000 0.008000 6.000000 0.080000
0.850000 1500.000000 0.008000 7.000000 0.050000
0.850000 1500.000000 0.008000 7.000000 0.060000
0.850000 1500.000000 0.008000 7.000000 0.070000
0.850000 1500.000000 0.008000 7.000000 0.080000
